"Количество организаций по данным государственной регистрации с 2017 г. (единица, Всего)",,,,,,,,
,,,,,,,,
,,,2017,2018,2019,2020,2021,2022
,,,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября
ВСЕГО (по всем формам собственности),        Воронежская область,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,16883,14461,13206,11518
ВСЕГО (по всем формам собственности),        Воронежская область,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,1300,1155,1078,978
ВСЕГО (по всем формам собственности),        Воронежская область,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,12617,10633,9703,8371
ВСЕГО (по всем формам собственности),        Воронежская область,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,2966,2673,2425,2169
ВСЕГО (по всем формам собственности),        Воронежская область,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,2994,2691,2597,2350
ВСЕГО (по всем формам собственности),        Воронежская область,    Деятельность почтовой связи и курьерская деятельность,,,55,28,26,26
ВСЕГО (по всем формам собственности),        Воронежская область,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,796,789,704,650
ВСЕГО (по всем формам собственности),        Воронежская область,    Деятельность по предоставлению продуктов питания и напитков,,,663,655,579,536
ВСЕГО (по всем формам собственности),        Воронежская область,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,65,53,50
ВСЕГО (по всем формам собственности),        Воронежская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,1181,1086,1038,1016
ВСЕГО (по всем формам собственности),        Воронежская область,    Деятельность издательская,,,149,143,130,115
ВСЕГО (по всем формам собственности),        Воронежская область,    Деятельность в области телевизионного и радиовещания,,,53,50,47,41
ВСЕГО (по всем формам собственности),        Воронежская область,            Деятельность информационных агентств,,,14,15,16,13
ВСЕГО (по всем формам собственности),        Воронежская область,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,599,570,520,428
ВСЕГО (по всем формам собственности),        Воронежская область,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,3437,3330,3268,3194
ВСЕГО (по всем формам собственности),        Воронежская область,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,3969,3693,3506,3239
ВСЕГО (по всем формам собственности),        Воронежская область,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,1719,1620,1572,1456
ВСЕГО (по всем формам собственности),        Воронежская область,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,1385,1374,1361,1240
ВСЕГО (по всем формам собственности),        Воронежская область,ОБРАЗОВАНИЕ,,,1882,1857,1845,1796
ВСЕГО (по всем формам собственности),        Воронежская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,898,899,918,913
ВСЕГО (по всем формам собственности),        Воронежская область,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,1061,1048,1033,970
ВСЕГО (по всем формам собственности),        Воронежская область,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,2335,2288,2229,2144
ВСЕГО (по всем формам собственности),        Воронежская область,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,1,1,1,1
