"Количество организаций по данным государственной регистрации с 2017 г. (единица, Всего)",,,,,,,,
,,,,,,,,
,,,2017,2018,2019,2020,2021,2022
,,,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября
ВСЕГО (по всем формам собственности),        Республика Коми,    Деятельность в области телевизионного и радиовещания,,,52,52,44,36
ВСЕГО (по всем формам собственности),        Республика Коми,            Деятельность информационных агентств,,,12,12,12,10
ВСЕГО (по всем формам собственности),        Республика Коми,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,207,189,174,156
ВСЕГО (по всем формам собственности),        Республика Коми,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,1777,1701,1571,1495
ВСЕГО (по всем формам собственности),        Республика Коми,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,1169,1083,953,878
ВСЕГО (по всем формам собственности),        Республика Коми,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,545,494,431,407
ВСЕГО (по всем формам собственности),        Республика Коми,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,819,799,800,792
ВСЕГО (по всем формам собственности),        Республика Коми,ОБРАЗОВАНИЕ,,,941,894,885,861
ВСЕГО (по всем формам собственности),        Республика Коми,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,484,475,469,485
ВСЕГО (по всем формам собственности),        Республика Коми,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,382,393,397,413
ВСЕГО (по всем формам собственности),        Республика Коми,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,1096,1067,1020,1002
ВСЕГО (по всем формам собственности),        Республика Коми,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Республика Коми,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Республика Коми,Всего по обследуемым видам экономической деятельности,19836,18763,17027,15948,14426,13527
ВСЕГО (по всем формам собственности),        Архангельская область,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,718,666,602,604
ВСЕГО (по всем формам собственности),        Архангельская область,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,302,285,259,258
ВСЕГО (по всем формам собственности),        Архангельская область,    Лесоводство и лесозаготовки,,,349,310,276,273
ВСЕГО (по всем формам собственности),        Архангельская область,            Лесозаготовки,,,229,205,181,175
ВСЕГО (по всем формам собственности),        Архангельская область,    Рыболовство и рыбоводство,,,67,71,67,73
ВСЕГО (по всем формам собственности),        Архангельская область,        Рыболовство,,,59,64,60,62
ВСЕГО (по всем формам собственности),        Архангельская область,        Рыбоводство,,,8,7,7,11
ВСЕГО (по всем формам собственности),        Архангельская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,82,76,80,79
